,Number,Description,Old_length,Section,Seifim,Length,Sefaria
1,סימן א,דיני פריה ורביה ושלא לעמוד בלא אשה,14,EH,"ובו י""ד סעיפים",14,14
2,סימן ב,שישתדל כל אדם ליקח לו אשה הגונה,11,EH,"ובו י""א סעיפים",11,11
3,סימן ג,דין בן שהוא ספק לכהונה,9,EH,ובו ט' סעיפים,9,9
4,סימן ד,מי הם אסורים לבא בקהל ואיזה הנקרא ממזר,37,EH,"ובו ל""ז סעיפים",37,37
5,סימן ה,דין פצוע דכא וכרות שפכה ואיסור סירוס לאדם ולבהמה ולעוף,14,EH,"ובו י""ד סעיפים",14,14
6,סימן ו,נשים האסורות לכהן ודין אשת כהן,15,EH,"ובו ט""ו סעיפים",18,18
7,סימן ז,דין אשה שנשבית ואיזו היא נקראת חללה,23,EH,"ובו כ""ג סעיפים",23,23
8,סימן ח,בכל ספק הולד הולך אחר הזכר,5,EH,ובו ה' סעיפים,5,5
9,סימן ט,איזו אשה נקראת קטלנית,2,EH,ובו ב' סעיפים,2,2
10,סימן י,איזו גרושה מותרת לחזור לבעלה,7,EH,ובו ז' סעיפים,7,7
11,סימן יא,אשה הנחשדת על אשת איש,8,EH,ובו ח' סעיפים,8,8
12,סימן יב,עדי גט וכן עדים שהעידו מיתת הבעל אם רשאים לישא האשה ההיא,4,EH,ובו ד' סעיפים,4,4
13,סימן יג,"גרושה או אלמנה צריכה להמתין צ' יום טרם שתנשא, ושלא ישא מינקת חבירו ומעוברת חבירו",0,EH,ובו ? סעיפים,14,14
14,סימן יד,שלא לישא אשה בימי האבל,0,EH,ובו ? סעיפים,1,1
15,סימן טו,איסור ערוה דאורייתא ודרבנן,0,EH,ובו ? סעיפים,31,31
16,סימן טז,איסור עובדת כוכבים ושפחה,0,EH,ובו ? סעיפים,6,6
17,סימן יז,"היתר אשת איש שמת בעלה ואומרת גרשתני, ודיני הערוה, ודין נשאת באיסור ובטעות",0,EH,ובו ? סעיפים,58,58
18,סימן יח,קדושין במי תופסין,0,EH,ובו ? סעיפים,1,1
19,סימן יט,סוקלין על חזקה שהיא בחזקת ערוה,0,EH,ובו ? סעיפים,2,2
20,סימן כ,באיזה ביאה חייב הבא על הערוה,0,EH,ובו ? סעיפים,2,2
21,סימן כא,להתרחק מן העריות,0,EH,ובו ? סעיפים,7,7
22,סימן כב,איסור יחוד ועם מי אסור להתייחד,0,EH,ובו ? סעיפים,20,20
23,סימן כג,איסור הוצאת זרע לבטלה ודברים המביאים לכך,0,EH,ובו ? סעיפים,7,7
24,סימן כד,אין ישראל חשודים על הרביעה ועל הזכר,0,EH,ובו ? סעיפים,1,1
25,סימן כה,לגדור גדר ושלא להרבות בתשמיש וכיצד יתנהג בשעת תשמיש,0,EH,ובו ? סעיפים,10,10
26,סימן כו,"שלא לקדש בביאה, ואיסור ביאה על הפנויה אפילו אם יחדה",0,EH,ובו ? סעיפים,4,4
27,סימן כז,כיצד לשון הקידושין ושיאמר הוא ויתן הוא,0,EH,ובו ? סעיפים,10,10
28,סימן כח,המקדש בגזל בפקדון או במלוה ובאיסור הנאה דאורייתא ודרבנן,0,EH,ובו ? סעיפים,23,23
29,סימן כט,"שצריך ליתן הכסף במתנה שלימה, ודין המקדש במשכון או במנה ונמצא חסר או רע",0,EH,ובו ? סעיפים,10,10
30,סימן ל,"לאיזה מקום צריך ליתן הכסף, ודין אם קדשה בככר",0,EH,ובו ? סעיפים,11,11
31,סימן לא,"שאין מקדשין בפחות משוה פרוטה, ואם צריך שומא",0,EH,ובו ? סעיפים,9,9
32,סימן לב,כיצד האשה מתקדשת בשטר,0,EH,ובו ? סעיפים,4,4
33,סימן לג,כיצד האשה מתקדשת בביאה,0,EH,ובו ? סעיפים,2,2
34,סימן לד,"ברכת האירוסין, ואם צריך עשרה",0,EH,ובו ? סעיפים,4,4
35,סימן לה,דיני שליחות לקדושין,15,EH,"ובו ט""ו סעיפים",15,15
36,סימן לו,כל דיני שליחות לאשה,0,EH,ובו ? סעיפים,12,12
37,סימן לז,כל דיני קדושי קטנה,0,EH,ובו ? סעיפים,27,27
38,סימן לח,המקדש על תנאי וכל דיני תנאי,0,EH,ובו ? סעיפים,39,39
39,סימן לט,"המקדש את האשה על מנת שאין עליה נדרים ומומין, ועל מי להביא ראיה אם נמצאו",0,EH,ובו ? סעיפים,7,7
40,סימן מ,"דין המקדש לאחר זמן, כגון לאחר שתלד ודומיו",0,EH,ובו ? סעיפים,8,8
41,סימן מא,"דין המקדש שתי אחיות, או הרבה נשים והיו בהם נכריות",0,EH,ובו ? סעיפים,4,4
42,סימן מב,אין מקדשין אלא לרצון האשה ובפני שני עדים,0,EH,ובו ? סעיפים,5,5
43,סימן מג,"אין קידושין לקטן, ודיני קטן וקטנה אם הגדילו",0,EH,ובו ? סעיפים,2,2
44,סימן מד,קדושי חרש שוטה וקטן עריות וחייבי לאוין,0,EH,ובו ? סעיפים,12,12
45,סימן מה,שחוששין לסבלונות ולכתובה,0,EH,ובו ? סעיפים,3,3
46,סימן מו,דיני קלא בקדושין ואם מבטלין הקול,0,EH,ובו ? סעיפים,8,8
47,סימן מז,"עדים המכחישין זה את זה בקדושין; או היא אומרת: נתקדשתי, וחזרה",0,EH,ובו ? סעיפים,4,4
48,סימן מח,"אמר לה קדשתיך, והיא אומרת: לא, או להפך",0,EH,ובו ? סעיפים,7,7
49,סימן מט,קדש אחת מחמש נשים וכל אחת אומרת אותי קדש,0,EH,ובו ? סעיפים,3,3
50,סימן נ,"מתי חוזרין הקדושין והסבלונות, ודיני קנסות",0,EH,ובו ? סעיפים,7,7
51,סימן נא,דברים שנקנו באמירה אם נתנו ליכתוב,0,EH,ובו ? סעיפים,1,1
52,סימן נב,הפוסק מעות לחתנו ואינו רוצה ליתן לו,0,EH,ובו ? סעיפים,1,1
53,סימן נג,"דין הפוסק לבנו או לבתו, אם קנו, ודין אם נפלה לפני היבם, ודין מתה הבת",0,EH,ובו ? סעיפים,3,3
54,סימן נד,"דין הפוסק לבנו או לבתו, ומת",0,EH,ובו ? סעיפים,1,1
55,סימן נה,"דין הארוסה לענין מזונות וקבורה וירושה, ואם יש לה כתובה",0,EH,ובו ? סעיפים,7,7
56,סימן נו,כמה זמן נותנים לארוסה,0,EH,ובו ? סעיפים,4,4
57,סימן נז,היה לה חצר בדרך ונכנסה עמו,0,EH,ובו ? סעיפים,1,1
58,סימן נח,כמה כסות יתן לבתו,0,EH,ובו ? סעיפים,2,2
59,סימן נט,"המשיא בנו גדול בבית, קנאו",0,EH,ובו ? סעיפים,4,4
60,סימן ס,דיני השושבינות,0,EH,ובו ? סעיפים,1,1
61,סימן סא,חופה לענין מה קונה,0,EH,ובו ? סעיפים,2,2
62,סימן סב,"מתי מברכין ברכת חתנים, ואם אוכלין בהרבה בתים",0,EH,ובו ? סעיפים,13,13
63,סימן סג,בעילת מצוה וברכתו,0,EH,ובו ? סעיפים,2,2
64,סימן סד,"זמן נשואי בתולה וברכתה, ואלמנה, ואם אינו רוצה לעשות סעודה",0,EH,ובו ? סעיפים,6,6
65,סימן סה,"מצוה לשמח חתן וכלה, ודין מת וכלה",0,EH,ובו ? סעיפים,4,4
66,סימן סו,כמה דיני כתובה,0,EH,ובו ? סעיפים,13,13
67,סימן סז,"דין כתובת אלמנה, וחרש שוטה וקטן היא או הוא, וגר שנתגייר",0,EH,ובו ? סעיפים,11,11
68,סימן סח,"כיצד טענת בתולים, ומתי נאסרת ומפסדת כתובתה",0,EH,ובו ? סעיפים,10,10
69,סימן סט,במה מתחייב האדם לאשתו ובניו,0,EH,ובו ? סעיפים,7,7
70,סימן ע,דין חיוב מזונות אשתו ואם חייב להשכיר עצמו,0,EH,ובו ? סעיפים,12,12
71,סימן עא,שחייב לזון בניו ובנותיו כשהם קטנים,0,EH,ובו ? סעיפים,4,4
72,סימן עב,דין המדיר את אשתו מליהנות לו,0,EH,ובו ? סעיפים,1,1
73,סימן עג,שחייב בכסות ומדור וכלי בית לאשתו,0,EH,ובו ? סעיפים,9,9
74,סימן עד,המדיר אשתו מכמה דברים,0,EH,ובו ? סעיפים,12,12
75,סימן עה,חילוק הארצות לענין נישואין ודיני ארץ ישראל,0,EH,ובו ? סעיפים,5,5
76,סימן עו,חיוב עונה,0,EH,ובו ? סעיפים,13,13
77,סימן עז,"דין מורד ומורדת, או אומרת: מאיס עלי",0,EH,ובו ? סעיפים,5,5
78,סימן עח,חיוב פדיונה,0,EH,ובו ? סעיפים,8,8
79,סימן עט,חיוב רפואתה,0,EH,ובו ? סעיפים,3,3
80,סימן פ,"מעשה ידיה שהיא חייבת לבעלה, ודיני מניקה ושאינה רוצה לעשות מלאכה",0,EH,ובו ? סעיפים,18,18
81,סימן פא,המקדיש מעשה ידי אשתו,0,EH,ובו ? סעיפים,2,2
82,סימן פב,"נדרה שלא להניק, ודין מניקה שנתגרשה",0,EH,ובו ? סעיפים,8,8
83,סימן פג,חבלת אשת איש למי הוא,0,EH,ובו ? סעיפים,2,2
84,סימן פד,דין מציאת האשה,0,EH,ובו ? סעיפים,1,1
85,סימן פה,דין נכסי מלוג וצאן ברזל,0,EH,ובו ? סעיפים,19,19
86,סימן פו,"שלא לקבל פקדונות מנשים, עבדים וקטנים",0,EH,ובו ? סעיפים,2,2
87,סימן פז,שאין חזקה בנכסי אשת איש,0,EH,ובו ? סעיפים,2,2
88,סימן פח,כל היוצאת מתחת בעלה במיתה או בגט או במיאון נוטלת נכסים,0,EH,ובו ? סעיפים,12,12
89,סימן פט,חיוב קבורת אשתו,0,EH,ובו ? סעיפים,4,4
90,סימן צ,"דין הבעל יורש את אשתו, ומה הוא שאינו יורש, מכירת האיש בנכסיו המשועבדים לאשתו, וטענת נחת רוח עשיתי לבעלי",0,EH,ובו ? סעיפים,20,20
91,סימן צא,אשה שהכניסה מלוה לבעלה ומחלה,0,EH,ובו ? סעיפים,5,5
92,סימן צב,האיש שסילק עצמו מפירות נכסי אשתו ומירושתה,0,EH,ובו ? סעיפים,8,8
93,סימן צג,דין מזונות האלמנה,0,EH,ובו ? סעיפים,32,32
94,סימן צד,"חיוב דירת אלמנה וכסותה, ואם אמרה שיתנו לה מזונות בבית אביה",0,EH,ובו ? סעיפים,7,7
95,סימן צה,"חיוב מעשה ידיה ליורשים, ואם השביחו הנכסים אם נוטלת בהם",0,EH,ובו ? סעיפים,7,7
96,סימן צו,שבועת אלמנה וגרושה על כתובה,0,EH,ובו ? סעיפים,21,21
97,סימן צז,(אם) הבעל יכול להשביע אשתו בטענת ספק,0,EH,ובו ? סעיפים,2,2
98,סימן צח,"פטרה משבועה או ייחד לה מטלטלין, גובה בלא שבועה",0,EH,ובו ? סעיפים,7,7
99,סימן צט,שמין לאשה אלמנה בגדיה,0,EH,ובו ? סעיפים,2,2
100,סימן ק,"כתובה ממה נגבית, וכל יתר דיני כתובה",0,EH,ובו ? סעיפים,16,16
101,סימן קא,עד כמה גובה כתובתה,0,EH,ובו ? סעיפים,4,4
102,סימן קב,דין גביית חוב וכתובת אלמנה,0,EH,ובו ? סעיפים,9,9
103,סימן קג,אלמנה שמכרה נכסיה לכתובתה אם צריכה למכור על פי בית דין,0,EH,ובו ? סעיפים,8,8
104,סימן קד,"בית דין שמכרו וטעו, וכן שאר שלוחין",0,EH,ובו ? סעיפים,6,6
105,סימן קה,דין המוכרת ומוחלת כתובתה,0,EH,ובו ? סעיפים,7,7
106,סימן קו,הכותב כל נכסיו לבניו וכתב לאשתו קרקע כל שהוא,0,EH,ובו ? סעיפים,2,2
107,סימן קז,"הכותב כל נכסיו לאשתו אם קנתה, ויצא עליו שטר חוב",0,EH,ובו ? סעיפים,10,10
108,סימן קח,דין שכיב מרע שאמר: תטול אשתי כאחד מן הבנים,0,EH,ובו ? סעיפים,3,3
109,סימן קט,שכיב מרע שאמר: תנו מאתים זהובים לאשתי בכתובתה,0,EH,ובו ? סעיפים,4,4
110,סימן קי,"שכותבין שובר לאשה אע""פ שאין בעלה עמה",0,EH,ובו ? סעיפים,2,2
111,סימן קיא,דין כתובת בנין דכרין,0,EH,ובו ? סעיפים,17,17
112,סימן קיב,"מזונות הבנות ממה ניזונות ועד כמה, וכל דיניהם",0,EH,ובו ? סעיפים,18,18
113,סימן קיג,דין עישור נכסים ממה נגבים,0,EH,ובו ? סעיפים,10,10
114,סימן קיד,דין מי שקבל עליו לזון בת אשתו וחבירו,0,EH,ובו ? סעיפים,12,12
115,סימן קטו,דין היוצאת בלא כתובה והמפסדת כתובתה,0,EH,ובו ? סעיפים,10,10
116,סימן קטז,"דין כתובה ותנאיה, ודין הנושא אשה באיסור",0,EH,ובו ? סעיפים,6,6
117,סימן קיז,דין כתובה באשה שאין לה וסת או שאר מומין ודין קטלנית,0,EH,ובו ? סעיפים,11,11
118,סימן קיח,"תקנת נשואין של קהל טוליטולה, ודיני נדוניא",0,EH,ובו ? סעיפים,19,19
119,סימן קיט,מה דבה ימצא באשה שתתגרש ושלא תדור הגרושה עמו בחצר,0,EH,ובו ? סעיפים,11,11
120,סימן קכ,שאין לכתוב הגט אם לא שמע מפי המגרש,0,EH,ובו ? סעיפים,11,11
121,סימן קכא,צריך להיות בדעתו מכתיבה עד נתינה,0,EH,ובו ? סעיפים,8,8
122,סימן קכב,אמר לכתוב הגט וטעה או נאבד,0,EH,ובו ? סעיפים,2,2
123,סימן קכג,"מי ראוי לכתוב הגט, ונכתב וניתן בשבת",0,EH,ובו ? סעיפים,5,5
124,סימן קכד,על מה נכתב הגט,0,EH,ובו ? סעיפים,9,9
125,סימן קכה,"במה נכתב הגט, ותיקון הכתיבה והקלף",0,EH,ובו ? סעיפים,23,23
126,סימן קכו,נוסח לשון הגט ודקדוק אותיותיו,0,EH,ובו ? סעיפים,50,50
127,סימן קכז,"שצריך להזכיר הזמן בגט, ודין קדימה ואיחור",0,EH,ובו ? סעיפים,13,13
128,סימן קכח,שצריך להזכיר בגט מקום דירת הבעל ואשה ועדים,0,EH,ובו ? סעיפים,7,7
129,סימן קכט,"דיני שם האיש והאשה, וחתימת הגט, ודין מומר המגרש",0,EH,ובו ? סעיפים,34,34
130,סימן קל,דיני עדי הגט וחתימתו ואם אינם יודעים לקרות או לחתום,0,EH,ובו ? סעיפים,22,22
131,סימן קלא,צריך שיהיה כתיבתו וחתימתו לשמה,0,EH,ובו ? סעיפים,9,9
132,סימן קלב,"שצריך להזכיר שם האיש ואשתו, והמביא גט ונפל ממנו",0,EH,ובו ? סעיפים,4,4
133,סימן קלג,צריך שימסור הגט בפני שני עדים כשרים,0,EH,ובו ? סעיפים,3,3
134,סימן קלד,צריך שיבטל הבעל כל מודעות,0,EH,ובו ? סעיפים,10,10
135,סימן קלה,צריך לקרות הגט קודם נתינה ולאחריו,0,EH,ובו ? סעיפים,5,5
136,סימן קלו,"דין איזה לשון צריך שיאמר בשעת הנתינה, והמגרש בשבת",0,EH,ובו ? סעיפים,7,7
137,סימן קלז,צריך שיתירנה היתר גמור,0,EH,ובו ? סעיפים,5,5
138,סימן קלח,דין נתינת הגט מידו,0,EH,ובו ? סעיפים,4,4
139,סימן קלט,"דין קבלה מידו, ואם זרק לה ולחצרה",0,EH,ובו ? סעיפים,18,18
140,סימן קמ,דין שליח להולכה וקבלה והבאה,0,EH,ובו ? סעיפים,11,11
141,סימן קמא,דין השליחות והחזרה ממנו,0,EH,ובו ? סעיפים,69,69
142,סימן קמב,דין המביא גט בחוצה לארץ,0,EH,ובו ? סעיפים,19,19
143,סימן קמג,דין המגרש על תנאי,0,EH,ובו ? סעיפים,23,23
144,סימן קמד,"דין תנאי, ואם יש טענות אונס בגט",0,EH,ובו ? סעיפים,7,7
145,סימן קמה,"דין שכיב מרע, ואם עמד ומת מחמת מקרה רע",0,EH,ובו ? סעיפים,10,10
146,סימן קמו,"דין המגרש לאחר זמן, ומי שנתגרש על תנאי",0,EH,ובו ? סעיפים,5,5
147,סימן קמז,"אין כותבין תנאי בגט, ואם כתבו מה דינו",0,EH,ובו ? סעיפים,3,3
148,סימן קמח,"דין המגרש בגט ישן, והמגרש בתנאי, ושלא יתיחד עמה",0,EH,ובו ? סעיפים,2,2
149,סימן קמט,דין המגרש את אשתו ואחר כך בא עליה או נתייחד עמה,0,EH,ובו ? סעיפים,7,7
150,סימן קנ,דין פיסול גט שאם נשאת בהן,0,EH,ובו ? סעיפים,4,4
151,סימן קנא,הסופר שטעה בגט ובשובר,0,EH,ובו ? סעיפים,1,1
152,סימן קנב,"דין שני עדים אומרים שנתגרשה, והאומרת: אשת איש הייתי ונתגרשתי",0,EH,ובו ? סעיפים,12,12
153,סימן קנג,דין המוצא גט בשוק למי יחזיר אותו,0,EH,ובו ? סעיפים,1,1
154,סימן קנד,"למי שכופין להוציא בגט, בין איש בין אשה, וסדר כתיבת הגט ונתינתו",0,EH,ובו ? סעיפים,24,24
155,סדר הגט,"ובו דיני העדים והבעל והסופר והאשה, וכל פרטיו",0,EH,ובו ? סעיפים,101,101
156,סימן קנה,"עד איזה זמן הקטנה ממאנת, ויתר דיני מיאון",0,EH,ובו ? סעיפים,22,22
157,סימן קנו,איזו נקרא זרע קיימא לפטור מן היבום,0,EH,ובו ? סעיפים,13,13
158,סימן קנז,"דיני גרים ומומר, ואיזה נקרא אח ליבום",0,EH,ובו ? סעיפים,10,10
159,סימן קנח,"באיזה אופן אשה נאמנת להתייבם, ואם עד אחד נאמן",0,EH,ובו ? סעיפים,6,6
160,סימן קנט,יבמה שנתקדשה לזר אם יש זיקה לאסור בקרובותיו,0,EH,ובו ? סעיפים,7,7
161,סימן קס,"חיוב מזונות היבמה וקבורתה, ודין נכסיה וירושתה",0,EH,ובו ? סעיפים,8,8
162,סימן קסא,"מי שהיו לו אחים רבים או נשים רבות, שמתו ונפלו נשותיהם לפניו",0,EH,ובו ? סעיפים,9,9
163,סימן קסב,דיני צרת היבמה וקרובותיה,0,EH,ובו ? סעיפים,5,5
164,סימן קסג,"המייבם זוכה בנכסי המת, וטענת בני היבם",0,EH,ובו ? סעיפים,8,8
165,סימן קסד,"שהיבמה לא תתייבם ולא תחלוץ תוך שלשה חדשים, ודין אם נתיבמה ונמצאת מעוברת",0,EH,ובו ? סעיפים,8,8
166,סימן קסה,איזה מהם קודם או חליצה או יבום,0,EH,ובו ? סעיפים,5,5
167,סימן קסו,"מצות יבום שתלך היבמה אחר היבם, ושיקדשנה, ואם כינס בביאה באיזו ביאה היא נקנית",0,EH,ובו ? סעיפים,9,9
168,סימן קסז,דין יבם קטן וחליצתו וכן קטנה,0,EH,ובו ? סעיפים,6,6
169,סימן קסח,"משכנסה הרי היא כאשתו, ועל מי חיוב כתובתה",0,EH,ובו ? סעיפים,9,9
170,סימן קסט,כל דיני חליצה בפרטות,0,EH,ובו ? סעיפים,56,56
171,סדר חליצה,ובו ? סעיפים,0,EH,,57,57
172,סימן קע,דין גט אחר גט ומאמר אחר מאמר,0,EH,ובו ? סעיפים,20,20
173,סימן קעא,דין שתי יבמות חרשות קטנות,0,EH,ובו ? סעיפים,10,10
174,סימן קעב,"דין יבם סריס וחרש. שוטה וקטן וטומטום, וכן היבמה",0,EH,ובו ? סעיפים,16,16
175,סימן קעג,"דין יבמה האסורה ליבם באיסור כרת, ודין צרתה, וסוטה וצרתה, וקטנה שמיאנה",0,EH,ובו ? סעיפים,17,17
176,סימן קעד,דין האסורה ליבם באיסור לאו ועשה,0,EH,ובו ? סעיפים,7,7
177,סימן קעה,דין יבמה שהיתה אסורה והותרה,0,EH,ובו ? סעיפים,14,14
178,סימן קעו,"דין יבמה שאינה בת יבום משום ספק זקוקה, ודין נשי תערובות",0,EH,ובו ? סעיפים,8,8
179,סימן קעז,הלכות אונס ומפתה,0,EH,ובו ? סעיפים,5,5
180,סימן קעח,הלכות סוטה,0,EH,ובו ? סעיפים,22,183
